EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates																																												
Diversity Output from Input File:  AvesMamif  (7 7, noviembre)																																												
																																												
NOTE:  Chao's estimated CV for Incidence distribution = 0,737. Because the CV > 0.5, Anne Chao recommends																																												
that you re-compute Chao2 using the Classic instead of the Bias-Corrected option in the Diversity Settings screen.																																												
Then, based on the results with the Classic option, report the larger of Chao2 and ICE as the better estimate for incidence-based richness.																																												
																																												
Samples	Individuals (computed)	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	Uniques Mean	Uniques SD (runs)	Duplicates Mean	Duplicates SD (runs)	ACE Mean	ACE  SD (runs)	ICE Mean	ICE SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Chao 2 Mean	Chao 2 95% CI Lower Bound	Chao 2 95% CI Upper Bound	Chao 2 SD (analytical)	Jack 1 Mean	Jack 1 SD (analytical)	Jack 2 Mean	Jack 2 SD (runs)	Bootstrap Mean	Bootstrap  SD (runs)	MMRuns Mean	MMMeans (1 run)	Cole Rarefaction	Cole SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)
1	323,67	85,33	75,89	94,78	4,82	86,74	20,68	10,21	26,3	9,22	86,74	34,24	0	0	101,43	42,64	86,74	34,24	95,47	90,06	111,05	4,78	86,74	137,22	137,22	0	86,74	0	0	0	86,74	34,24	0	0	134,42	6,8	0	0	0	0	0	0	0	0
2	647,33	136,69	124,19	149,2	6,38	136,93	31,56	9,58	35,54	5,9	102,74	17,55	34,19	17,48	159,67	34,7	645,31	379,5	151,55	143,21	171,54	6,7	243,08	194,85	332,77	33,85	188,3	21,76	188,3	34,59	162,62	30,85	536,03	343,36	185,04	6,82	0	0	0	0	0	0	0	0
3	971	173,98	159,97	187,98	7,14	173,71	39,29	10,07	41,52	5,29	110,86	15,29	42,1	9,65	202,57	35,17	398,59	67,09	192,7	182,49	215,22	7,85	272,32	232,97	337,95	26,08	247,62	24,14	277,55	39,41	208,12	30,82	437,15	359,56	217,56	6,47	0	0	0	0	0	0	0	0
4	1294,67	203,94	188,93	218,95	7,66	203,87	46,15	9,05	45,67	4,34	120,07	12,97	43,81	6,79	238,59	29,99	404,01	53,23	227,16	215,16	252,18	8,95	328,05	280,13	406,14	31,39	293,92	26,52	339,35	35,04	244,7	25,07	853,78	375,03	241,24	5,97	0	0	0	0	0	0	0	0
5	1618,33	229,29	213,44	245,13	8,08	226,87	50,56	9,2	48,97	3,67	125,01	12,01	46,2	7,45	264,91	28,75	414,62	47,02	253,03	239,94	279,45	9,6	363,31	311,58	446,72	33,7	326,88	26,55	381,09	34,4	271,71	23,64	812510,92	389,37	259,47	5,37	0	0	0	0	0	0	0	0
6	1942	251,36	234,74	267,98	8,48	251,65	56,88	8,27	52,17	3,42	132,58	9,89	49,5	7,6	294,83	23,65	444,31	38,35	282,49	267,61	311,39	10,69	400,13	345,19	487,38	35,5	362,13	26,79	424,12	27,68	300,84	18,82	628,1	402,53	274,03	4,67	0	0	0	0	0	0	0	0
7	2265,67	270,89	253,49	288,29	8,88	271,89	61,02	6,75	54,69	2,95	136,66	6,69	54,19	7,7	317,32	17,71	465,17	25,66	305,46	289,59	335,64	11,28	419,25	365,65	503,51	34,45	389,03	25,91	454,39	17,66	324,05	13,67	611,16	414,52	285,93	3,82	0	0	0	0	0	0	0	0
8	2589,33	288,33	270,12	306,55	9,29	288,46	64,39	4,82	56,82	2,69	139,46	4,28	58,85	6,09	335,51	12,28	483,36	16,22	324,16	307,55	355,27	11,71	431,36	380,14	511,21	32,78	410,49	25,24	477,25	10,95	342,95	8,97	603,71	425,39	295,8	2,71	0	0	0	0	0	0	0	0
9	2913	304	284,9	323,1	9,74	304	67	0	59	0	141	0	64	0	351,81	0	499,69	0	340,84	323,88	372,27	11,89	438,97	391,13	513,09	30,52	429,33	23,74	495,44	0	360,29	0	515,39	435,22	304	0	0	0	0	0	0	0	0	0
																																												
																																												
																																												
																																												
																																												
				S(est)	ACE Mean	Chao 1 Mean	Chao 2 Mean	Jack 1 Mean	Bootstrap Mean	MMRuns Mean																																		
				85,33	101,43	95,47	86,74	86,74	86,74	0																																		
				136,69	159,67	151,55	243,08	188,3	162,62	536,03																																		
				173,98	202,57	192,7	272,32	247,62	208,12	437,15																																		
				203,94	238,59	227,16	328,05	293,92	244,7	853,78																																		
				229,29	264,91	253,03	363,31	326,88	271,71	812510,92																																		
				251,36	294,83	282,49	400,13	362,13	300,84	628,1																																		
				270,89	317,32	305,46	419,25	389,03	324,05	611,16																																		
				288,33	335,51	324,16	431,36	410,49	342,95	603,71																																		
				304	351,81	340,84	438,97	429,33	360,29	515,39																																		
																																												
																																												
					86,41027828	89,19140946	69,25302412	70,80800317	84,37647451	58,98445837																																		
